07-12-201807-12-201812-12-201816:22:4612-12-201816:45:4400007514
    0000000040550000000040550001           435001003 1   1 CLP     2018120700K1769 BEX20000000000149811909000000000001498119090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058350001           412801036 1   1 CLP     2018120700K1769 OPT   80000000009493618000000000000094936180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058350001           989901120 8   1 CLP     2018120700K1769 OPT   8-0000002788000000000-0000002788000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058350001           989901120 8   1 CLP     2018120700K1769 OPT   80000000278800000000000000002788000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058350001           989901136 8   1 CLP     2018120700K1769 OPT   80000000278800000000000000002788000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058350001           989904059 8   1 USD     2018120700K1769 OPT   8-0000000004000000000-0000002697440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058350001           989904059 8   1 USD     2018120700K1769 OPT   80000000000400000000000000002697440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058350001           989904083 8   1 USD     2018120700K1769 OPT   80000000000400000000000000002697440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058360001           212801034 1   1 CLP     2018120700K1769 OPT   20000000000846735000000000000008467350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058360001           989901117 8   1 CLP     2018120700K1769 OPT   20000000356400000000000000003564000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058360001           989904056 8   1 USD     2018120700K1769 OPT   20000000000500000000000000003371800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058360002           412801036 1   1 CLP     2018120700K1769 OPT   20000000005655527000000000000056555270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058360002           989901120 8   1 CLP     2018120700K1769 OPT   20000000340000000000000000003400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058360002           989904059 8   1 USD     2018120700K1769 OPT   20000000000500000000000000003371800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058370001           412801035 1   1 CLP     2018120700K1769 OPT   50000000002078040000000000000020780400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058370001           989901119 8   1 CLP     2018120700K1769 OPT   50000000102337500000000000001023375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058370001           989904058 8   1 USD     2018120700K1769 OPT   50000000000150000000000000001011540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058370002           212801035 1   1 CLP     2018120700K1769 OPT   50000000003308444000000000000033084440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058370002           989901118 8   1 CLP     2018120700K1769 OPT   50000000102337500000000000001023375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058370002           989904057 8   1 USD     2018120700K1769 OPT   50000000000150000000000000001011540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058370003           212801034 1   1 CLP     2018120700K1769 OPT   50000000000677758000000000000006777580000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058370003           989901117 8   1 CLP     2018120700K1769 OPT   50000000109500000000000000001095000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058370003           989904056 8   1 USD     2018120700K1769 OPT   50000000000150000000000000001011540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058390001           412801035 1   1 CLP     2018120700K1769 OPT   50000000000142193000000000000001421930000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058390001           989901119 8   1 CLP     2018120700K1769 OPT   50000000004044000000000000000040440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058390001           989904058 8   1 USD     2018120700K1769 OPT   50000000000006000000000000000040461600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058390002           212801035 1   1 CLP     2018120700K1769 OPT   50000000000142759000000000000001427590000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058390002           989901118 8   1 CLP     2018120700K1769 OPT   50000000004044000000000000000040440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058390002           989904057 8   1 USD     2018120700K1769 OPT   50000000000006000000000000000040461600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058390003           212801034 1   1 CLP     2018120700K1769 OPT   50000000000068172000000000000000681720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058390003           989901117 8   1 CLP     2018120700K1769 OPT   50000000004320000000000000000043200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058390003           989904056 8   1 USD     2018120700K1769 OPT   50000000000006000000000000000040461600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058490001           212801034 1   1 CLP     2018120700K1769 OPT   20000000001588603000000000000015886030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058490001           989901117 8   1 CLP     2018120700K1769 OPT   20000000345050000000000000003450500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058490001           989904056 8   1 USD     2018120700K1769 OPT   20000000000500000000000000003371800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058490002           412801036 1   1 CLP     2018120700K1769 OPT   20000000001482292000000000000014822920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058490002           989901120 8   1 CLP     2018120700K1769 OPT   20000000330000000000000000003300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058490002           989904059 8   1 USD     2018120700K1769 OPT   20000000000500000000000000003371800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058540001           212801005 1   1 CLP     2018120700K1769 OPT   60000000256267611000000000002562676110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058540001           989901138 8   1 CLP     2018120700K1769 OPT   60000011867400000000000000118674000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058540001           989904085 8   1 USD     2018120700K1769 OPT   60000000018000000000000000121384800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058540002           212801005 1   1 CLP     2018120700K1769 OPT   60000000256267611000000000002562676110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058540002           989901138 8   1 CLP     2018120700K1769 OPT   60000011867400000000000000118674000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058540002           989904085 8   1 USD     2018120700K1769 OPT   60000000018000000000000000121384800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058550001           212801005 1   1 CLP     2018120700K1769 OPT   60000000305638187000000000003056381870000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058550001           989901138 8   1 CLP     2018120700K1769 OPT   60000014511200000000000000145112000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058550001           989904085 8   1 USD     2018120700K1769 OPT   60000000022000000000000000148359200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058550002           212801005 1   1 CLP     2018120700K1769 OPT   60000000305638187000000000003056381870000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058550002           989901138 8   1 CLP     2018120700K1769 OPT   60000014511200000000000000145112000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058550002           989904085 8   1 USD     2018120700K1769 OPT   60000000022000000000000000148359200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058560001           212801005 1   1 CLP     2018120700K1769 OPT   60000000366256864000000000003662568640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058560001           989901138 8   1 CLP     2018120700K1769 OPT   60000016016373000000000000160163730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058560001           989904085 8   1 USD     2018120700K1769 OPT   60000000024300000000000000163869480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058560002           212801005 1   1 CLP     2018120700K1769 OPT   60000000366256864000000000003662568640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058560002           989901138 8   1 CLP     2018120700K1769 OPT   60000016016373000000000000160163730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058560002           989904085 8   1 USD     2018120700K1769 OPT   60000000024300000000000000163869480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058570001           212801005 1   1 CLP     2018120700K1769 OPT   60000000267969772000000000002679697720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058570001           989901138 8   1 CLP     2018120700K1769 OPT   60000012739930000000000000127399300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058570001           989904085 8   1 USD     2018120700K1769 OPT   60000000019300000000000000130151480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058570002           212801005 1   1 CLP     2018120700K1769 OPT   60000000267969772000000000002679697720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058570002           989901138 8   1 CLP     2018120700K1769 OPT   60000012739930000000000000127399300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058570002           989904085 8   1 USD     2018120700K1769 OPT   60000000019300000000000000130151480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058580001           412801035 1   1 CLP     2018120700K1769 OPT   50000000013000467000000000000130004670000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058580001           989901119 8   1 CLP     2018120700K1769 OPT   50000000270000347000000000002700003470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058580001           989904058 8   1 USD     2018120700K1769 OPT   50000000000415513000000000002802053466800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058580002           212801035 1   1 CLP     2018120700K1769 OPT   50000000003026400000000000000030264000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058580002           989901118 8   1 CLP     2018120700K1769 OPT   50000000270000347000000000002700003470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058580002           989904057 8   1 USD     2018120700K1769 OPT   50000000000415513000000000002802053466800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058580003           212801034 1   1 CLP     2018120700K1769 OPT   50000000004660397000000000000046603970000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058580003           989901117 8   1 CLP     2018120700K1769 OPT   50000000286703970000000000002867039700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058580003           989904056 8   1 USD     2018120700K1769 OPT   50000000000415513000000000002802053466800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058590001           212801005 1   1 CLP     2018120700K1769 OPT   60000000344504997000000000003445049970000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058590001           989901138 8   1 CLP     2018120700K1769 OPT   60000015623751000000000000156237510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058590001           989904085 8   1 USD     2018120700K1769 OPT   60000000023700000000000000159823320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058590002           212801005 1   1 CLP     2018120700K1769 OPT   60000000344504997000000000003445049970000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058590002           989901138 8   1 CLP     2018120700K1769 OPT   60000015623751000000000000156237510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058590002           989904085 8   1 USD     2018120700K1769 OPT   60000000023700000000000000159823320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058600001           212801034 1   1 CLP     2018120700K1769 OPT   20000000056470361000000000000564703610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058600001           989901117 8   1 CLP     2018120700K1769 OPT   20000002748000000000000000027480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058600001           989904056 8   1 USD     2018120700K1769 OPT   20000000004000000000000000026974400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058600002           412801036 1   1 CLP     2018120700K1769 OPT   20000000026421782000000000000264217820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058600002           989901120 8   1 CLP     2018120700K1769 OPT   20000002560000000000000000025600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058600002           989904059 8   1 USD     2018120700K1769 OPT   20000000004000000000000000026974400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057350001           212801034 1   1 CLP     2018120700K1769 OPT   20000000005188737000000000000051887370000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057350001           989901117 8   1 CLP     2018120700K1769 OPT   20000000335000000000000000003350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057350001           989904056 8   1 USD     2018120700K1769 OPT   20000000000500000000000000003371800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057350002           412801036 1   1 CLP     2018120700K1769 OPT   20000000000353863000000000000003538630000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057350002           989901120 8   1 CLP     2018120700K1769 OPT   20000000315000000000000000003150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057350002           989904059 8   1 USD     2018120700K1769 OPT   20000000000500000000000000003371800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057830001           212801034 1   1 CLP     2018120700K1769 OPT   20000000002043871000000000000020438710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057830001           989901117 8   1 CLP     2018120700K1769 OPT   20000000066700000000000000000667000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057830001           989904056 8   1 USD     2018120700K1769 OPT   20000000000100000000000000000674360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057830002           412801036 1   1 CLP     2018120700K1769 OPT   20000000000679142000000000000006791420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057830002           989901120 8   1 CLP     2018120700K1769 OPT   20000000064800000000000000000648000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000057830002           989904059 8   1 USD     2018120700K1769 OPT   20000000000100000000000000000674360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058230001           212801034 1   1 CLP     2018120700K1769 OPT   00000000017594970000000000000175949700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058230001           989901117 8   1 CLP     2018120700K1769 OPT   00000002059000000000000000020590000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058230001           989904056 8   1 USD     2018120700K1769 OPT   00000000002900000000000000019556440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058270001           412801005 1   1 CLP     2018120700K1769 OPT   60000000037417764000000000000374177640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058270001           989901138 8   1 CLP     2018120700K1769 OPT   60000001656120000000000000016561200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058270001           989904085 8   1 USD     2018120700K1769 OPT   60000000002400000000000000016184640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058270002           412801005 1   1 CLP     2018120700K1769 OPT   60000000037417764000000000000374177640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058270002           989901138 8   1 CLP     2018120700K1769 OPT   60000001656120000000000000016561200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058270002           989904085 8   1 USD     2018120700K1769 OPT   60000000002400000000000000016184640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058280001           212801034 1   1 CLP     2018120700K1769 OPT   20000000005027631000000000000050276310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058280001           989901117 8   1 CLP     2018120700K1769 OPT   20000001756169600000000000017561696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000000058280001           989904056 8   1 USD     2018120700K1769 OPT   20000000002461000000000000016595999600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
